stack,auc,tuned_f1,nested_f1,auc_gain,tuned_gain,nested_gain
ranker OOF (baseline),0.6943826254399672,0.5819415196795403,0.5699002413042417,0.0,0.0,0.0
logit(none-logit + min_amount_cv),0.7144968196095144,0.5825837616243548,0.5647503943495877,0.020114194169547184,0.0006422419448144367,-0.005149846954653925
logit(none-logit + total_payments),0.7550882301876667,0.5932711689426989,0.5754544678561699,0.06070560474769948,0.011329649263158603,0.005554226551928276
logit(none-logit + hidden_max_n_capped),0.8507169689221397,0.628845259940583,0.609119365177428,0.15633434348217246,0.046903740261042715,0.03921912387318638
logit(none-logit + sc_max_n_capped),0.8011802168663288,0.6092240723735103,0.5912422117499139,0.10679759142636158,0.027282552693969953,0.02134197044567221
