variant,n_features,auc,auc_repeats,auc_gain,tuned_f1,nested_f1,tuned_gain,nested_gain
ranker OOF (baseline),1,0.6943826254399672,0.6943826254399672,0.0,0.5819415196795403,0.5699002413042417,0.0,0.0
"A own ranker fields, client-level",30,0.8417321685054531,0.8440128951812744,0.14734954306548587,0.6108378062636581,0.5905181959718562,0.028896286584117803,0.020617954667614513
B A + robust churn features,105,0.878519737361302,0.879562439825118,0.18413711192133475,0.6189940169555006,0.6044676340540774,0.03705249727596027,0.03456739274983578
C B + filler-sensitive features,138,0.8825583597708225,0.8837076013700145,0.18817573433085533,0.6189887713485935,0.5929040662622651,0.037047251669053205,0.023003824958023444
D B + hidden series (detector change),109,0.9211196079359818,0.9260697318370503,0.2267369824960146,0.6428509738650868,0.6288153991706857,0.0609094541855465,0.05891515786644408
E hidden series only (+ none-prob),5,0.8374104282084063,0.8397089114067902,0.14302780276843907,0.6312302956543672,0.6194499531728528,0.04928877597482684,0.049549711868611124
F all stream + hidden,142,0.9269910980633552,0.9284974430607509,0.23260847262338802,0.6457520678459532,0.6233553596523452,0.06381054816641285,0.05345511834810357
