variant,n_features,auc,auc_repeats,auc_gain,tuned_f1,nested_f1
G A + robust + scattered-MCC hidden series,107,0.9062554256041163,0.9008584292185552,0.2118728001641491,0.631744371614859,0.6177271565139786
H A + scattered-MCC hidden series,32,0.8876150228072667,0.8875883880234228,0.19323239736729947,0.6301979769858146,0.6129470753642818
