cutoff,min_payments,min_payments_before,churn,none_share,rule_macro_f1,none_gap,rule_gap,verdict
2025-10-03,9,0,0.15,0.5050,0.6512,0.2065,0.1267,fail
2025-10-03,10,0,0.15,0.5825,0.5847,0.2840,0.0602,fail
2025-10-03,2,1,0.15,0.2575,0.5564,-0.0410,0.0319,pass
2025-10-03,3,1,0.15,0.2660,0.5678,-0.0325,0.0433,pass
2025-10-03,4,1,0.15,0.2830,0.5935,-0.0155,0.0690,fail
2025-10-03,5,1,0.15,0.3110,0.6272,0.0125,0.1027,fail
2025-10-03,6,1,0.15,0.3650,0.6889,0.0665,0.1644,fail
2025-10-03,7,1,0.15,0.4075,0.7056,0.1090,0.1810,fail
2025-10-03,8,1,0.15,0.4510,0.7160,0.1525,0.1915,fail
2025-10-03,9,1,0.15,0.5050,0.6512,0.2065,0.1267,fail
2025-10-03,10,1,0.15,0.5825,0.5847,0.2840,0.0602,fail
2025-10-03,3,2,0.15,0.2925,0.6112,-0.0060,0.0867,fail
2025-10-03,4,2,0.15,0.3015,0.6222,0.0030,0.0977,fail
2025-10-03,5,2,0.15,0.3170,0.6344,0.0185,0.1099,fail
2025-10-03,6,2,0.15,0.3670,0.6903,0.0685,0.1658,fail
2025-10-03,7,2,0.15,0.4085,0.7063,0.1100,0.1818,fail
2025-10-03,8,2,0.15,0.4510,0.7160,0.1525,0.1915,fail
2025-10-03,9,2,0.15,0.5050,0.6512,0.2065,0.1267,fail
2025-10-03,10,2,0.15,0.5825,0.5847,0.2840,0.0602,fail
2025-10-03,4,3,0.15,0.3450,0.6842,0.0465,0.1597,fail
2025-10-03,5,3,0.15,0.3515,0.6848,0.0530,0.1603,fail
2025-10-03,6,3,0.15,0.3680,0.6950,0.0695,0.1705,fail
2025-10-03,7,3,0.15,0.4085,0.7070,0.1100,0.1825,fail
2025-10-03,8,3,0.15,0.4510,0.7160,0.1525,0.1915,fail
2025-10-03,9,3,0.15,0.5050,0.6512,0.2065,0.1267,fail
2025-10-03,10,3,0.15,0.5825,0.5847,0.2840,0.0602,fail
2025-10-03,2,0,0.2,0.2770,0.5089,-0.0215,-0.0156,pass
2025-10-03,3,0,0.2,0.3005,0.5402,0.0020,0.0157,pass
2025-10-03,4,0,0.2,0.3250,0.5767,0.0265,0.0522,fail
2025-10-03,5,0,0.2,0.3530,0.6120,0.0545,0.0874,fail
2025-10-03,6,0,0.2,0.4005,0.6668,0.1020,0.1423,fail
2025-10-03,7,0,0.2,0.4430,0.6830,0.1445,0.1585,fail
2025-10-03,8,0,0.2,0.4840,0.6927,0.1855,0.1681,fail
2025-10-03,9,0,0.2,0.5355,0.6284,0.2370,0.1039,fail
2025-10-03,10,0,0.2,0.6105,0.5609,0.3120,0.0363,fail
2025-10-03,2,1,0.2,0.3045,0.5460,0.0060,0.0215,pass
2025-10-03,3,1,0.2,0.3125,0.5563,0.0140,0.0318,pass
2025-10-03,4,1,0.2,0.3270,0.5801,0.0285,0.0556,fail
2025-10-03,5,1,0.2,0.3540,0.6126,0.0555,0.0881,fail
2025-10-03,6,1,0.2,0.4015,0.6675,0.1030,0.1430,fail
2025-10-03,7,1,0.2,0.4430,0.6830,0.1445,0.1585,fail
2025-10-03,8,1,0.2,0.4840,0.6927,0.1855,0.1681,fail
2025-10-03,9,1,0.2,0.5355,0.6284,0.2370,0.1039,fail
2025-10-03,10,1,0.2,0.6105,0.5609,0.3120,0.0363,fail
2025-10-03,3,2,0.2,0.3370,0.5971,0.0385,0.0726,fail
2025-10-03,4,2,0.2,0.3450,0.6075,0.0465,0.0830,fail
2025-10-03,5,2,0.2,0.3595,0.6190,0.0610,0.0944,fail
2025-10-03,6,2,0.2,0.4035,0.6689,0.1050,0.1443,fail
2025-10-03,7,2,0.2,0.4440,0.6837,0.1455,0.1592,fail
2025-10-03,8,2,0.2,0.4840,0.6927,0.1855,0.1681,fail
2025-10-03,9,2,0.2,0.5355,0.6284,0.2370,0.1039,fail
2025-10-03,10,2,0.2,0.6105,0.5609,0.3120,0.0363,fail
2025-10-03,4,3,0.2,0.3845,0.6638,0.0860,0.1393,fail
2025-10-03,5,3,0.2,0.3900,0.6636,0.0915,0.1391,fail
2025-10-03,6,3,0.2,0.4045,0.6723,0.1060,0.1478,fail
2025-10-03,7,3,0.2,0.4440,0.6844,0.1455,0.1599,fail
